artist,color
stefan dimitrescu,#000080
ferdynand ruszczyc,#808000
sa nogueira,#800080
carlos merida,#FF0000
dimitris mytaras,#C0C0C0
nicolae vermont,#008080
akseli gallen kallela,#FFFFFF
umberto boccioni,#FFFF00
eduard von gebhardt,#00FFFF
leonora carrington,#000000
constantin stahi,#0000FF
moise kisling,#FF00FF
boris grigoriev,#808080
fernand khnopff,#008000
tia peltz,#00FF00
spyros papaloukas,#800000
ion nicodim,#000080
ivan milev,#808000
jury annenkov,#800080
eliseu visconti,#FF0000
n c wyeth,#C0C0C0
georges lemmen,#008080
pierre alechinsky,#FFFFFF
jacoba van heemskerck,#FFFF00
dado,#00FFFF
otto dix,#000000
giorgio morandi,#0000FF
hans hofmann,#FF00FF
milton avery,#808080
gulacsy lajos,#008000
konstantin bogaevsky,#00FF00
corneliu baba,#800000
maurice de vlaminck,#000080
lygia pape,#808000
vanessa bell,#800080
cornelis norbertus gysbrechts,#FF0000
henry moore,#C0C0C0
istvan ilosvai varga,#008080
leon bonnat,#FFFFFF
maurice denis,#FFFF00
adriaen brouwer,#00FFFF
vasily polenov,#000000
charles cottet,#0000FF
alexandre benois,#FF00FF
aleksey antropov,#808080
elaine de kooning,#008000
jorge castillo,#00FF00
henrique pousao,#800000
eva gonzales,#000080
frederic remington,#808000
max liebermann,#800080
alfred stevens,#FF0000
david burliuk,#C0C0C0
guy rose,#008080
bela czobel,#FFFFFF
tom thomson,#FFFF00
grigoriy myasoyedov,#00FFFF
william hogarth,#000000
ivan nikitin,#0000FF
ligia macovei,#FF00FF
john collier,#808080
isaac van ostade,#008000
gwen john,#00FF00
john constable,#800000
michel simonidy,#000080
georgios jakobides,#808000
othon friesz,#800080
mykola pymonenko,#FF0000
klavdy lebedev,#C0C0C0
julius leblanc stewart,#008080
vladimir makovsky,#FFFFFF
alexey zubov,#FFFF00
fyodor vasilyev,#00FFFF
richard parkes bonington,#000000
laszlo moholy nagy,#0000FF
vasile kazar,#FF00FF
kazimir malevich,#808080
frederic bazille,#008000
konstantinos parthenis,#00FF00
ion theodorescu sion,#800000
marsden hartley,#000080
jean dubuffet,#808000
anita malfatti,#800080
gerard sekoto,#FF0000
louay kayyali,#C0C0C0
nutzi acontz,#008080
carlos botelho,#FFFFFF
